["JarOfAir","Island"], "Shell", "Swim to the bottom of the bay and find a shell"
["HighPlace"], "Translation", "Take a photo of the ruins at the top of the mountain. Take it to the Archeologist to decipher"
["AnchorStaff"], "HighPlace", "Use the AnchorStaff to change to timing on the moving platforms on the <TallPlace>. Climb to the top."
[], "Flower", "Find a flower"
[], "Shell", "Find a shell"
["Map"], "DeepPlace", "Use the map to navigate the labrinth to the bottom of the deep place"
["FireSpell"], "HighPlace", "Use the FireSpell to keep yourself warm as you climb the frozen mountainside."
["DeepPlace","FireSpell"], "Diamond", "Battle the Frost Dragon in the <Deep Place>- retrieve the Diamond"
["GreaseSpray"], "Sword", "Find a sword stuck in a rusty gear mechancism- use the GreaseSpray to free the mechanism and withdraw it."
["Translation","Book"], "Map", "Use your translation on a book to retrieve instructions about where stuff is."
[], "Book", "Find a book at the local library"
["Diamond"], "AnchorStaff", "A local wizard needs a diamond to complete her experiment. Give her the diamond to complete it, and she'll let you test it out."
[], "Candle", "Buy a candle from the local store."
[], "Sword", "Buy a sword from the local store"
["Sword"], "Flower", "Use your sword to hack flowers of a rugged tree"
["Shield"], "HighPlace", "Use your shield to withstand incoming boulders as you climb the mountain"
["Map"], "FarPlace", "Use the map to navigate the forest to the other side"
["DeepPlace"], "Island", "Follow the tunnel to the Island."
["Candle"], "DeepPlace", "Use your candle to navigate the darkness"
["Island"], "Shell", "Pick a shell up from the beach"
[], "Island", "Take a ferry across to an island."
["Sword"], "Diamond", "Fight goblins, find diamond"
["DeepPlace"], "Book", "Find an ancient tome in the deep place"
["GreaseSpray"], "Shield", "Use the grease spray to repair the blacksmiths mechanism."
["DoubleJump"], "HighPlace", "Double jump your way to <TallPlace>"
["DoubleJump"], "Island", "Double jump your way across the rocks to the island."
["DoubleJump"], "FarPlace", "Double jump your way across a chasm to farplace"
[], "DoubleJump", "Learn doublejump at the end of the tutorial"
["Sword","Shield","AnchorStaff"], "Win", "Fight the Jabberwock- save the kingdom"
["JarOfAir","Candle"], "DeepPlace", "Protect your candle in the jar, explore the wet cave."
["Candle","Flower","Shell"], "Win", "Ward off evil spirits using the flower, candle and shell. Save the kingdom."
["DeepPlace","HighPlace","FarPlace","Island"], "Win", "Take photos of everywhere in the land, and become a ledgendary nature photographer."
["Axe"], "FarPlace", "Cut down a tree with the axe to form a bridge across the chasm"
["GreaseSpray"], "Axe", "Use the Grease to unrust the Tin man- he gives you his axe in return."
["FireSpell"], "Sword", "Use your fire to heat the blacksmiths forge- in return he will smelt you a fine sword."
["LightningSpell","FeatherFall","AnchorStaff"], "Win", "Battle the Iron Sorcerer and Save the kingdom"
["FeatherFall"], "DeepPlace", "Jump down into the gaping pit. Use your ring of featherfall to survive."
[], "Win", "What an amazing day today is! Congradulations on getting out of bed today."
["GhostSpeak"], "FireSpell", "Go to the graveyard and talk to a ghostly wizard. S/he teaches  you the fireball spell."
["GhostSpeak"], "Map", "Talk to the ghost of an explorer and learn way through <SOMEWHERE>"
["GhostSpeak","Flower"], "DeepPlace", "Talk to the ghosts at the entrance to <DeepPlace>- they will let you pass if lay flowers around their tombs."
["Shell","GhostSpeak"], "Island", "Listen to the voices of Lost sailors in the Shell. Learn the location of a distant Island."
["FeatherFall","Axe"], "AnchorStaff", "Battle the gorgon!- use the feathfall spell to prevent yourself being knocked into the pit of lava."
[], "Hammer", "Steal a hammer from the blacksmith"
["Flower","Shell"], "GhostSpeak", "Bring the witchdoctor ingrediants and they will teach you to speak with ghosts."
["Book"], "GhostSpeak", "Retrieve the priests holy book, and he will teach you how to speak with ghosts."
[], "Shield", "Buy a shield"
[], "GreaseSpray", "Find a can of GreaseSpray in a tool shed."
["Flower"], "GreaseSpray", "Help an Alchemist make their brew. Recieve a random concoction in return."
[], "HighPlace", "Climb!"
[], "Map", "Find a map in the local bookstore"
[], "Candy", "Go buy some candy"
["Candy"], "GreaseSpray", "A child in town will trade pranking supplies for some candy."
["GiantStrength"], "DeepPlace", "Push a huge boulder our of your way in order to explore the tomb."
["Hammer","FireSpell"], "GiantStrength", "Pass a test of the Forge God to earn giantStrength"
["GiantStrength"], "HighPlace", "Roll boulders into position so that you can climb the mountain."
["HighPlace"], "GhostSpeak", "Talk to the Oracle and learn to speak with Ghosts."
["Feather","Book"], "FeatherFall", "Read a Spellbook, and teach yourself FeatherFall"
[], "Feather", "Capture a chicken"
["AnimalSpeak"], "Feather", "Convince a great Eagle to give you one of its feathers."
["Flower"], "Candy", "Bring ingrediants for making Candy."
["Candy"], "AnimalSpeak", "A sweet toothed forest spirit will teach you to speak with animals."
["Rope"], "HighPlace", "Use Rope to climb the mountain"
["FireSpell"], "Axe", "Defeat the living bramble and reclaim the huntsmans axe."
["DeepPlace"], "GhostSpeak", "The ancient spirits in the ghost place will teach you how to talk to others."
["Hammer"], "Shield", "Give the Blacksmith a new hammer, get a shield"
["Diamond","LightningSpell","GhostSpeak"], "Win", "Help Doctor Frankenstien finish his diabolic experiment!"
["HighPlace","AnimalSpeak"], "LightningSpell", "Talk to the thunderbird at the top of the mountain. It will teach you how to create lightning."
